system:index,aClass,dClass,eClass,finalCla_1,finalClass,include,lat,lon,pointID,random,sysID,v1_2_Class,.geo
00000000000000000047,0,0,0,0,1,1,-5.844152186,39.26818073,,0.34959158,1_1_181,0,"{""type"":""Point"",""coordinates"":[39.26818160696044,-5.84415134985881]}"
00000000000000000049,0,0,0,0,1,1,-33.4269228,-53.31668342,,0.350564795,1_1_1046,0,"{""type"":""Point"",""coordinates"":[-53.31668203516591,-33.42692421368532]}"
0000000000000000004a,0,0,0,0,1,1,15.3336305,-16.45880845,,0.351101763,1_1_65,0,"{""type"":""Point"",""coordinates"":[-16.458809534331944,15.333631188212784]}"
0000000000000000004c,0,0,0,0,1,1,-3.93523222,10.98023172,,0.352075447,1_1_199,0,"{""type"":""Point"",""coordinates"":[10.980233125238842,-3.9352324843838957]}"
0000000000000000004d,0,0,0,0,1,1,-1.392999982,131.8126198,,0.352856032,1_1_357,0,"{""type"":""Point"",""coordinates"":[131.81261903893625,-1.393000873591225]}"
0000000000000000004e,0,0,0,0,1,1,-25.44988313,152.909555,,0.353834052,1_1_818,0,"{""type"":""Point"",""coordinates"":[152.9095536158078,-25.44988227063911]}"
0000000000000000004f,0,0,0,0,1,1,46.35694863,-1.394061237,,0.354524332,1_1_599,0,"{""type"":""Point"",""coordinates"":[-1.3940621396419453,46.35694832465495]}"
00000000000000000050,0,0,0,0,1,1,14.73175836,80.1190671,,0.354827638,1_1_469,0,"{""type"":""Point"",""coordinates"":[80.11906762362885,14.731759564422871]}"
00000000000000000052,0,0,0,0,1,1,-32.17377299,133.2858568,,0.35592559,1_1_264,0,"{""type"":""Point"",""coordinates"":[133.28585697688317,-32.173774126433315]}"
00000000000000000053,0,0,0,0,1,1,57.71614532,-92.15534447,,0.356384473,1_1_658,0,"{""type"":""Point"",""coordinates"":[-92.15534519225422,57.716147071123]}"
00000000000000000055,0,0,0,0,1,1,39.31415595,-0.230742053,,0.358311348,1_1_37,0,"{""type"":""Point"",""coordinates"":[-0.23074064311161038,39.31415493882147]}"
00000000000000000056,0,0,0,0,1,1,54.05551056,-82.31879307,,0.360280778,1_1_625,0,"{""type"":""Point"",""coordinates"":[-82.31879122340528,54.055510488711356]}"
00000000000000000057,0,0,0,0,1,1,21.648786,90.87639346,,0.361007442,1_1_384,0,"{""type"":""Point"",""coordinates"":[90.87639474630699,21.648784005043925]}"
00000000000000000058,0,0,0,0,1,1,5.533010812,-57.63308923,,0.364412971,1_1_927,0,"{""type"":""Point"",""coordinates"":[-57.63308739580047,5.533008655652517]}"
0000000000000000005a,0,0,0,0,1,1,28.45801671,48.92956154,,0.366404624,1_1_511,0,"{""type"":""Point"",""coordinates"":[48.92955979092475,28.45801859590002]}"
0000000000000000005b,0,0,0,0,1,1,51.38302261,156.4309509,,0.367004265,1_1_698,0,"{""type"":""Point"",""coordinates"":[156.43095030872456,51.38302407704648]}"
0000000000000000005d,0,0,0,0,1,1,-32.46572635,152.4064975,,0.369541739,1_1_797,0,"{""type"":""Point"",""coordinates"":[152.40649567136225,-32.46572484970557]}"
00000000000000000060,0,0,0,0,1,1,11.08010765,-71.75011382,,0.374678824,1_1_987,0,"{""type"":""Point"",""coordinates"":[-71.75011528899529,11.080108070633921]}"
00000000000000000063,0,0,0,0,1,1,-0.530617315,-47.02398489,,0.38076924,1_1_1033,0,"{""type"":""Point"",""coordinates"":[-47.023985251239914,-0.5306151889558456]}"
00000000000000000064,0,0,0,0,1,1,-10.91065035,130.4292152,,0.380847843,1_1_344,0,"{""type"":""Point"",""coordinates"":[130.42921415081204,-10.910648853299817]}"
00000000000000000065,0,0,0,0,1,1,-3.715144977,11.14642094,,0.382644051,1_1_198,0,"{""type"":""Point"",""coordinates"":[11.146419362399717,-3.715144633688968]}"
00000000000000000066,0,0,0,0,1,1,1.580423588,108.7573591,,0.38311952,1_1_406,0,"{""type"":""Point"",""coordinates"":[108.7573587569176,1.5804258090696623]}"
00000000000000000068,0,0,0,0,1,1,-16.91139731,44.54129051,,0.384974667,1_1_226,0,"{""type"":""Point"",""coordinates"":[44.54129155771286,-16.911399373054593]}"
0000000000000000006d,0,0,0,0,1,1,6.233696729,3.856591564,,0.391205964,1_1_80,0,"{""type"":""Point"",""coordinates"":[3.856591778205325,6.233698417887841]}"
0000000000000000006e,0,0,0,0,1,1,-51.20009148,-59.05242647,,0.39127886,1_1_1115,0,"{""type"":""Point"",""coordinates"":[-59.05242817931439,-51.20008945632887]}"
00000000000000000070,0,0,0,0,1,1,-31.28444086,115.1219219,,0.399990905,1_1_274,0,"{""type"":""Point"",""coordinates"":[115.12192287252195,-31.28444209413195]}"
00000000000000000072,0,0,0,0,1,1,56.00934629,-60.96134643,,0.4,1_2_3,0,"{""type"":""Point"",""coordinates"":[-60.961347044789306,56.00934587909763]}"
00000000000000000073,0,0,0,0,1,1,-17.94445898,123.835581,,0.400261514,1_1_321,0,"{""type"":""Point"",""coordinates"":[123.83558155499111,-17.944457150510612]}"
00000000000000000074,0,0,0,0,1,1,-15.57739822,124.832711,,0.401056717,1_1_323,0,"{""type"":""Point"",""coordinates"":[124.83271235525952,-15.577396865501512]}"
00000000000000000075,0,0,0,0,1,1,-32.92835782,115.184804,,0.402320905,1_1_252,0,"{""type"":""Point"",""coordinates"":[115.18480511557765,-32.92835658400058]}"
00000000000000000076,0,0,0,0,1,1,6.925398595,49.27541293,,0.403200485,1_1_485,0,"{""type"":""Point"",""coordinates"":[49.275412127731066,6.925398632399419]}"
00000000000000000077,0,0,0,0,1,1,38.94135511,-123.7356181,,0.403211658,1_1_821,0,"{""type"":""Point"",""coordinates"":[-123.73561742757492,38.941356254349174]}"
00000000000000000078,0,0,0,0,1,1,-24.8659782,113.2040188,,0.403504933,1_1_285,0,"{""type"":""Point"",""coordinates"":[113.20401891842435,-24.865976364993536]}"
00000000000000000079,0,0,0,0,1,1,6.539123924,116.774822,,0.404024006,1_1_413,0,"{""type"":""Point"",""coordinates"":[116.77482245101326,6.539124544543616]}"
0000000000000000007a,0,0,0,0,1,1,-21.7847577,13.80094169,,0.405652898,1_1_206,0,"{""type"":""Point"",""coordinates"":[13.800940055920261,-21.7847598325677]}"
0000000000000000007b,0,0,0,0,1,1,5.51055293,-0.657441811,,0.406434333,1_1_75,0,"{""type"":""Point"",""coordinates"":[-0.6574409411179535,5.510552622747364]}"
0000000000000000007d,0,0,0,0,1,1,-32.20521402,127.9318978,,0.409058891,1_1_267,0,"{""type"":""Point"",""coordinates"":[127.93189906493073,-32.205215247961156]}"
00000000000000000082,0,0,0,0,1,1,9.162204536,79.13541187,,0.415668435,1_1_475,0,"{""type"":""Point"",""coordinates"":[79.13541222674395,9.162204116536317]}"
00000000000000000083,0,0,0,0,1,1,21.05140634,-88.55759268,,0.416439189,1_1_999,0,"{""type"":""Point"",""coordinates"":[-88.55759085289827,21.05140715511589]}"
00000000000000000085,0,0,0,0,1,1,29.8683717,-84.58254667,,0.418421601,1_1_869,0,"{""type"":""Point"",""coordinates"":[-84.58254751430921,29.868369831690202]}"
00000000000000000086,0,0,0,0,1,1,32.25339876,-9.433982078,,0.421643569,1_1_38,0,"{""type"":""Point"",""coordinates"":[-9.433981866642787,32.25340029394469]}"
00000000000000000087,0,0,0,0,1,1,18.65290545,-72.29359367,,0.422999781,1_1_991,0,"{""type"":""Point"",""coordinates"":[-72.29359498449033,18.652905748578934]}"
00000000000000000088,0,0,0,0,1,1,-6.944588402,-79.91130723,,0.423430335,1_1_1011,0,"{""type"":""Point"",""coordinates"":[-79.9113091873467,-6.9445906033334515]}"
00000000000000000089,0,0,0,0,1,1,33.93773901,-79.15672239,,0.423662012,1_1_872,0,"{""type"":""Point"",""coordinates"":[-79.15672227067837,33.937740993963864]}"
